,x,y,,x,y,,x,y,,x,y,,avrg,x,y,-y
1,1.75,1.5,,5.066667,0,,4,0,,,,,,3.605555667,0.5,-0.5
2,0.5,6,,3.733333,5.066667,,1.6,14.4,,,,,,1.944444333,8.488889,-8.488889
3,0,12,,1.866667,12,,0,26.13333,,,,,,0.6222223333,16.71111,-16.71111
4,0,25,,0,24,,1.866667,38.13333,,,,,,0.6222223333,29.04444333,-29.04444333
5,-1.75,37.25,,0.8,38.66667,,3.733333,56.8,,,,,,0.9277776667,44.23889,-44.23889
6,0.5,54,,1.866667,54.93333,,6.666667,77.6,,,,,,3.011111333,62.17777667,-62.17777667
7,3.5,72.5,,4.533333,73.33333,,14.13333,96.8,,,,,,7.388887667,80.87777667,-80.87777667
8,8.5,92.5,,8.8,93.6,,22.66667,120,,,,,,13.32222333,102.0333333,-102.0333333
9,16.25,115.25,,16,116.5333,,36,143.2,,,,,,22.75,124.9944333,-124.9944333
10,26.25,138.25,,28.26667,141.3333,,49.33333,166.4,,,,,,34.61666667,148.6611,-148.6611
11,38.25,163,,41.06667,165.3333,,66.4,191.2,,,,,,48.57222333,173.1777667,-173.1777667
12,53.75,187,,55.46667,189.6,,85.33333,214.4,,,,,,64.85,197,-197
13,74.75,211.5,,75.46667,213.3333,,106.9333,237.8667,,,,,,85.71665667,220.9,-220.9
14,95.75,235,,96.8,237.3333,,129.3333,259.7333,,,,,,107.2944333,244.0222,-244.0222
15,116.75,256.25,,119.2,257.8667,,153.3333,281.3333,,,,,,129.7611,265.15,-265.15
16,140.75,280,,141.8667,280,,177.6,302.1333,,,,,,153.4055667,287.3777667,-287.3777667
17,168.75,299.5,,170.9333,301.3333,,,,,,,,,169.84165,300.41665,-300.41665
18,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
19,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
20,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
22,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
23,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
24,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
25,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!