,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,-0.5,4.5,,-1.25,7.5,,1.25,7.25,,,,,,-0.1666666667,6.416666667,-6.416666667
2,0,10.5,,-1.75,17.25,,2.75,22.75,,,,,,0.3333333333,16.83333333,-16.83333333
3,0.5,20.5,,-1,31.5,,4.5,35.5,,,,,,1.333333333,29.16666667,-29.16666667
4,1.25,33,,5.5,62.75,,9.5,53,,,,,,5.416666667,49.58333333,-49.58333333
5,4.5,51.5,,13.25,82,,14.5,72,,,,,,10.75,68.5,-68.5
6,8,68.75,,20.5,103,,23,94.5,,,,,,17.16666667,88.75,-88.75
7,14.75,87.75,,31.75,125.25,,33.5,116.5,,,,,,26.66666667,109.8333333,-109.8333333
8,24.5,109.5,,44.5,147.25,,45.5,137,,,,,,38.16666667,131.25,-131.25
9,33.5,129.75,,55.25,169.5,,59.75,159,,,,,,49.5,152.75,-152.75
10,47.25,154.25,,73.5,180.5,,78.5,179.75,,,,,,66.41666667,171.5,-171.5
11,60.5,175,,94.5,214,,95.5,200.25,,,,,,83.5,196.4166667,-196.4166667
12,78.75,198.5,,114,233.5,,115.25,223,,,,,,102.6666667,218.3333333,-218.3333333
13,98.25,221,,137.25,255,,136.5,241.75,,,,,,124,239.25,-239.25
14,118.5,241.25,,161.25,274.75,,155,257.25,,,,,,144.9166667,257.75,-257.75
15,143.25,259.75,,179.75,289.75,,176.5,273.75,,,,,,166.5,274.4166667,-274.4166667
16,164,277.5,,,,,202,289.5,,,,,,183,283.5,-283.5
17,186.25,293.25,,,,,,,,,,,,186.25,293.25,-293.25
18,205.5,305.25,,,,,,,,,,,,205.5,305.25,-305.25
19,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
20,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
22,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
23,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
24,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
25,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!